country,SCORE,save the woman's life,preserve physical health,preserve mental health,rape or incest,foetal impairment,economic or social reasons,available on request,additional requirements,notes,source,URL;;
Afghanistan,1,1,0,0,0,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Albania,7,1,1,1,1,1,1,1,A pregnant woman must receive counselling at least one week before the abortion is performed. An abortion must be performed by a physician specialist or obstetrician/gynaecologist in a public or private health institution.,""For 'on request' abortions, the pregnant woman must state that she has psychological and social problems"",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Algeria,3,1,1,1,0,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Andorra,1,1,0,0,0,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Angola,1,1,0,0,0,0,0,0,A therapeutic abortion requires the woman's consent and consultation with medical professionals. The abortion must be performed within the first trimester.,""The abortion law does not expressly allow abortions to be performed to save the life of the woman, but the general principles of criminal legislation allow abortions to be performed for this reason on the ground of necessity."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Antigua and Barbuda,1,1,0,0,0,0,0,0,""A therapeutic abortion requires the authorization of a panel of physicians. As a rule, the abortion must be performed within the first 16 weeks of gestation, although it can be performed later under very exceptional circumstances."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Argentina,4,1,1,1,1,0,0,0,,""The Penal Code allows abortions to be performed for health reasons but does not differentiate between physical and mental health. In addition, controversy exists as to whether the Penal Code allows abortions to be performed in all cases of rape or only in cases of the rape of a woman who is an idiot or insane."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Armenia,7,1,1,1,1,1,1,1,""Abortion is available on request during the first 12 weeks of gestation. Thereafter, induced abortion is available within 28 weeks from conception on judicial, genetic, vital, broad medical and social grounds, as well as for personal reasons if authorized by a commission of local physicians."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Australia,7,1,1,1,1,1,1,1,""In South Australia, the Australian Capital Territory, and the Northern Territory, abortion requires the consent of two physicians and must be performed in a hospital."",""The grounds on which abortion is permitted vary by jurisdiction, with Tasmania having the most restrictive law and Western Australia the most liberal."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Austria,7,1,1,1,1,1,1,1,""An abortion is available on request during the first three months of pregnancy if performed by a physician after a previous medical consultation. If necessary to avert serious danger to the woman's life or physical or mental health"; if a serious danger exists that the child may be afflicted with a serious physical or mental defect;" or if the woman is under 14 years of age, an abortion may be performed after the first trimester."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx"
"Azerbaijan,7,1,1,1,1,1,1,1,""Abortion is available on request during the first 12 weeks of gestation. Thereafter, induced abortion is available within 28 weeks from conception on judicial, genetic, vital, broad medical and social grounds, as well as for personal reasons if authorized by a commission of local physicians."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Bahamas,3,1,1,1,0,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Bahrain,7,1,1,1,1,1,1,1,An abortion requires authorization by a panel of physicians.,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Bangladesh,1,1,0,0,0,0,0,0,""A therapeutic abortion requires the approval of two physicians. No approval is required in the case of menstrual regulation, as the procedure is considered a family planning method rather than an abortive technique. Menstrual regulation may be performed, within eight weeks of the last menstrual period, by paramedical personnel on an out-patient basis"",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Barbados,6,1,1,1,1,1,1,0,""Authorization by a physician is required when gestation is 12 weeks or less. If gestation is of more than 12 but less than 20 weeks’ duration, the procedure must be authorized by two physicians. If gestation is of more than 20 weeks’ duration, authorization of three physicians is required. The woman must receive counselling prior to the procedure. When gestation is of more than 12 weeks’ duration, the abortion must be performed in a Government-approved hospital."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Belarus,7,1,1,1,1,1,1,1,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Belgium,7,1,1,1,1,1,1,1,The woman must certify in writing that she is determined to have an abortion and the physician must be convinced of her determination. The woman must receive counselling at least six days prior to the procedure.,""For 'on request' abortions, the Law requires a woman seeking an abortion to state that she is in a state of distress as a result of her situation";" the decision to have an abortion, however, is entirely the decision of the woman."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";
Belize,5,1,1,1,0,1,1,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Benin,1,1,0,0,0,0,0,0,""The attending physician or surgeon must seek the opinion of two consulting physicians, one of whom must be selected from the list of experts attached to the civil court, who, after an examination of the case and a discussion, must certify in writing that the life of the mother cannot be safeguarded except by the therapeutic intervention in question."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Bhutan,0,-,-,-,-,-,-,-,-,""The exact status of abortion law in Bhutan is unclear. Because the official State religion of Bhutan is Buddhism, which disapproves of abortion, it is probable that the procedure is allowed only to save the life of the pregnant woman."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Bolivia,4,1,1,1,1,0,0,0,""If the abortion is performed in the case of rape or incest, legal action must have been initiated."",The Code does not specify whether preservation of health includes both physical and mental health.,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Bosnia Herzegovina,7,1,1,1,1,1,1,1,""If the woman is a minor, the approval of her parents or guardian is required, unless she is 16 or more years of age and earns her own living. After the first 10 weeks of pregnancy, special authorization by a commission composed of a gynaecologist/obstetrician, a general physician or a specialist in internal medicine, and a social worker or a psychologist is required."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Botswana,5,1,1,1,1,1,0,0,An abortion performed in the case of rape or incest or foetal impairment must be approved in writing by two practitioners.,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Brazil,2,1,0,0,1,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Brunei Darussalam,1,1,0,0,0,0,0,0,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Bulgaria,7,1,1,1,1,1,1,1,""Medically indicated abortion, when the pregnancy is between 12 and 20 weeks in duration, is allowed only if the woman is suffering from a proven, documented case of a disease that could endanger the life of the pregnant woman or child, as determined by a special medical commission. If the pregnancy is of greater than 20 weeks’ duration, abortion is permitted only if the woman’s life is in danger or evidence of severe foetal impairment is found."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Burkina Faso,5,1,1,1,1,1,0,0,""Two physicians must attest that the continuance of the pregnancy endangers the health of the woman or that a strong possibility exists that the unborn child will be afflicted with a condition of exceptional seriousness recognized as incurable at the time of diagnosis. Cases of rape or incest must be established by the State prosecutor, and the abortion must be performed during the first 10 weeks of pregnancy."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Burundi,3,1,1,1,0,0,0,0,,The law does not specify whether health includes physical and mental health.,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Cambodia,7,1,1,1,1,1,1,1,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Cameroon,4,1,1,1,1,0,0,0,""In the case of rape, the prosecution or the public prosecutor’s office must certify a “good case” or the materiality of the facts before the abortion can lawfully be performed."",The law does not specify whether health includes physical and mental health.,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
Canada,7,1,1,1,1,1,1,1,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
Cape Verde,7,1,1,1,1,1,1,1,,,UN and WHO,https://esa.un.org/gapp/about_database.aspx;;
"Central African Republic,1,1,0,0,0,0,0,0,,""The law does not expressly allow abortions to be performed to save the life of the woman, but general principles of criminal legislation allow abortions to be performed for this reason on grounds of necessity."",UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
"Chad,1,1,0,0,0,0,0,0,""In addition, the physician performing the abortion must obtain the written approval of two other physicians, one of whom must be an expert on the list of the civil court."",,UN and WHO,https://esa.un.org/gapp/about_database.aspx";;
